Answer.Q1,Answer.Q2,Answer.Q3
misunderstood,young,ignorant
criminal,scholar,capone
knife,run,tommy gun
criminal,paid,rough
bad,fit,violent
life,Manning,rap
drugs,running,scary
gangster,sports,thugs
crime,sports,criminal
gun,strong,organized
black man,bruce jenner,2 pac
guns,sports,california
bully,sports,criminal
gangster,physical,criminal
Gun,Ball,Chain
Theif,Baskeball,Mob
gangster,jock,thug
criminal,sports,mafia
unlawful,sports,mafia
Crime,Strong,Violence
robber,sportsman,drug-dealer
bad,strong,bad
Gun,Discipline,Crime
life,runner,queen
gang,jock,thug
crook,jock,Mafia
Gangster,Olympics,Thug
street,football,Bugsy
street,run,gun
Punk,Fast,Hard
criminal,Olympics,mob
life,Phelps,Capone
criminal,sports,thug
life,trainer,paradise
Gang,Training,Crime
gang,track,mob
criminal,skilled,killer
gang,sports,punk
criminal,star,guns
hood,jock,Capone
criminal,sporty,crime
gangsta,jock,mafia
gang,olympics,scary
gang,muscle,guns
gangster,sports,gun
Male,Fitness,Street
chains,muscular,black
criminal,jock,thug
criminal,strong,mean
criminal,runner,guns
robber,Olympics,criminal
Punk,Healthy,Mafia
deliquent,Micheal Jordan,Snoop dog
CRIMINAL,EXCEPTIONAL ABILITY,MOBSTER
mean,sports,thug
hood,competitor,crook
Black,Male,Gun
criminal,baby,criminal
Gang,Sports,Mafia
criminal,strong,trouble
hooligan,runner,mobster
criminal,football,guns
drugs,basketball player,guns
Loser,Winner,Criminal
low-life,sports,guns
criminal,strong,gun
life,league,paradise
Lowlife,Skilled,Rap
projects,football,drug dealer
bad,entertainer,criminal
Criminal,Football,New York
criminal,strong,degenerate
Criminal,Strong,Gun
gangster,football,bandana
criminal,pro,mafia
GUY,FOOTBALL,THIEF
Gang,Star,Gun
hoodlum,agile,criminal
rug,tough,beat
GUN,IRVING,RAPPER
delinquent,powerful,thug
scary,strong,violence
mean,fitness,bad
gang,muscles,gun
hoodlum,football,crime
enemy,sport,gun
muscle,runner,gun
crimes,sport,motorcycle
black,sport,guns
bully,fit,criminal
Criminal,Skilled,Television
Gang,Compete,Capone
gang,basketball,guns
mugger,sports,gun
hoodlum,professional,mob
chains,olympian,banger
Gangsta,Fit,Hip-hop
capitalist,football,capitalist
ganster,jock,thug
crime,sport,gun
Lady,Sprots,Star
white,son,boyfriend
slug,sport,mob
hoodlum,sports star,mafia
HARD,FIT,AL CAPONE
life,strong,stripe
gangster,superstar,thug
gangster,sports,ruffian
BLACK GUY,BLACK GUY,"ITALIAN GUY, OR BLACK GUY"
gang,football,bandana
gangster,runner,mafia
rug,shoes,gun
Bully,Strong,Criminal
Bandanna,Runner,Guns
criminal,healthy,murderer
bum,rich,black
godfather,chipper jones,gun
crook,baseball,mafia
dirty,friendly,black and white
gangster,powerful,criminal
tough,strong,man
gangster,player,criminal
life,pay,rap
money,football,crime
Dirty,Fit,Scary
Life,Sport,Paradise
big,football,shady
bully,jock,punk
useless,strong,punk
bully,sports,boys
bone,sports,streets
Punk,Tall,Gun
gangster,black,thug
FIGHTER,BRIGHT,MEAN
Mean,Toned,dangerous
criminal,jock,drug dealer
villan,strong,gun
life,sports,gun
mean,strong,jail
thief,strong,organized
punk,exercise,loser
robber,fit,mob
monster,fit,guns
Guy,Socks,Chain
bad,fit,shooting
beanie,strong,gun
bully,jock,criminal
Politican,Swift,Tommy gun
bandit,sportsman,crime
gun,basketball,rap
gangster,football,thug
thief,sports,hoodlum
criminal,football,gun
CRIMINAL,FAST,GUNS
knife,sport,danger
Bully,Sports,Criminal
goon,pro,gal
BAD,STAR,MOB
Brute,Strong,criminal
criminal,fit,tough
mean,strong,bad
gang,football,mob
Dead,Rich,Pain
criminal,jock,mobster
Punk,Strong,Loser
gangster,football,chains
hood,runner,mobster
crime,fit,bad
criminal,fitness,mob
CRIMINAL,SPORTS,THUG
human,football,rap
life,competition,crime
gangster,money,felon
gang,sports,gun
life,sports,paradise
bad,achiever,chrime
thief,runner,hooligan
mug,sports,mafia
criminal,basketball player,crips
criminal,strong,tough
criminal,fit,killer
thief,sport,criminal
criminal,runner,ghetto
criminal,strong,mob
criminal,olympian,felon
bully,fit,Capone
criminal,basketball,thug
hug,foot ball,crime
bully,professional,criminal
Idiot,Football,Gun
violent,olympics,gang
criminal,competitive,mafia
street,ball,guns
mean,vain,scary
rapper,football,mafia
hjnh,gggg,thhhg
guns,Michael Jordan,Al Capone
criminal,jock,Chicago
bully,healthy,cruel
Bad,Strong,Vrime
thief,strong,gun
criminal,sports,gang
mean,cardio,drugs
drug dealer,professional,rapper
criminal,sport,black
robber,strong,al capone
mugger,jumping,extortionist
Mean,Attractive,Uneducated
lowlife,strong,thug
violent person,sportsman,criminals
thief,runner,criminal
Ganster,STar,Punk
Gangster,Sports,Rap
bug,jog,dude
gang member,football,Capone
criminal,fit,hood
rug,runner,50 cent
gang,sports,mobster
flannel,sport,car
Criminal,Football,Gang
mean,fast,thug
criminal,footbal,criminal
violence,trophies,danger
big,basketball,guns