Subject,Subject.readInstructions,Subject.gender,Subject.age,Subject.ethnicity,Subject.education,Subject.nativelang,Subject.languages,Subject.location,Condition,Talker,Lure,Recalled,PropListRecalled,PropCorrectRecalls,RecalledLure,FalseRecall
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,conner,anger,emotion mean calm hatred ire happy fear,0.5,1.0,False,
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,conner,kill,deadly murder assassin shoot slay suicide violence,0.5,1.0,False,
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,deshaun,law,amendment legislation rules government police attorney,0.357142857143,0.833333333333,False,police
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,conner,fruit,bowl salad cherry berry kiwi vegetable banana ripe fruit,0.571428571429,0.888888888889,True,fruit
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,conner,lion,hunt bears fierce feline tiger circus,0.428571428571,1.0,False,
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,deshaun,needle,cloth syringe ingest dimple haystack,0.214285714286,0.6,False,dimple ingest
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,deshaun,soft,skin kitty plush furry pillow downy,0.428571428571,1.0,False,
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,conner,black,brown coal bottom ink death dark down color,0.5,0.875,False,down
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,conner,gun,cannon bang aim shoot murder holster gun,0.428571428571,0.857142857143,True,gun
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,deshaun,law,amendment rules legislation justice law judge uphold citizen,0.285714285714,0.5,True,judge law uphold citizen
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,conner,fruit,bowl salad juice cherry basket citrus apple orange,0.571428571429,1.0,False,
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,conner,lion,hunt bears fierce feline forest cub lion roar jungle cat,0.5,0.7,True,lion forest cat
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,deshaun,sleep,yawn peace nap snore slumber awake sleep bed rest,0.571428571429,0.888888888889,True,sleep
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,deshaun,doctor,clinic surgeon stethoscope office nurse pain syringe needle medicine,0.428571428571,0.666666666667,False,syringe needle pain
R_2zl8BONsF3Jye8J,Yes,Male,27,White,graduated college,english,english,Auburn  WA,1,conner,anger,mad fire hatred ire rage control emotion,0.357142857143,0.714285714286,False,control fire
R_2zl8BONsF3Jye8J,Yes,Male,27,White,graduated college,english,english,Auburn  WA,1,conner,kill,slay suicide violence destruction homicide deadly,0.357142857143,0.833333333333,False,destruction
R_2zl8BONsF3Jye8J,Yes,Male,27,White,graduated college,english,english,Auburn  WA,1,deshaun,trouble,rights attorney problem sad difficulty maker,0.285714285714,0.666666666667,False,attorney rights
R_2zl8BONsF3Jye8J,Yes,Male,27,White,graduated college,english,english,Auburn  WA,1,conner,fruit,apple fruit citrus orange tree pear basket bowl,0.428571428571,0.75,True,fruit tree
R_2zl8BONsF3Jye8J,Yes,Male,27,White,graduated college,english,english,Auburn  WA,1,conner,lion,tiger lion cub africa desert bears fierce hunt,0.428571428571,0.75,True,dessert lion
R_2zl8BONsF3Jye8J,Yes,Male,27,White,graduated college,english,english,Auburn  WA,1,deshaun,sleep,bed rest pillow blanket sleep rest yawn,0.285714285714,0.666666666667,True,sleep pillow
R_2zl8BONsF3Jye8J,Yes,Male,27,White,graduated college,english,english,Auburn  WA,1,deshaun,doctor,nurse sick doctor medicine stethoscope health cleaning,0.357142857143,0.714285714286,True,cleaning doctor
R_1eOTnvRgsUEkzyr,Yes,Male,43,White,graduated college,English,English,Desloge  Missouri  USA,1,conner,anger,emotion calm happy wrath anger mean temper tiger jungle circus mane bear fight ire rage calm,0.642857142857,0.6,True,circus bear tiger jungle anger mane
R_1eOTnvRgsUEkzyr,Yes,Male,43,White,graduated college,English,English,Desloge  Missouri  USA,1,conner,gun,pistol shoot holster bang cannon rifle hunt trigger target,0.571428571429,0.888888888889,False,target
R_1eOTnvRgsUEkzyr,Yes,Male,43,White,graduated college,English,English,Desloge  Missouri  USA,1,deshaun,law,amendmant justice officer lawyer attorney criminal court government rules legislation guilty,0.714285714286,0.909090909091,False,guilty
R_1eOTnvRgsUEkzyr,Yes,Male,43,White,graduated college,English,English,Desloge  Missouri  USA,1,conner,sweet,fudge candy frosting sour tart sweet taste sugar,0.5,0.875,True,sweet
R_1eOTnvRgsUEkzyr,Yes,Male,43,White,graduated college,English,English,Desloge  Missouri  USA,1,conner,chair,desk table rocker furniture couch sofa wicker seat sit chair,0.642857142857,0.9,True,chair
R_1eOTnvRgsUEkzyr,Yes,Male,43,White,graduated college,English,English,Desloge  Missouri  USA,1,deshaun,needle,syringe prick needle thimble assasin murder suicuide hurt pain,0.285714285714,0.444444444444,True,suicide needle murder pain assassin
R_1eOTnvRgsUEkzyr,Yes,Male,43,White,graduated college,English,English,Desloge  Missouri  USA,1,deshaun,soft,skin kitten downy plush pillow snoze slumber yawn peace sleep bed snore comfy skin cotton,0.428571428571,0.428571428571,False,snore slumber peace snoze comfy bed yawn sleep
R_qyeol4HnHcwFGOB,Yes,Male,33,White,some college,english,english,Frisco Texas,1,conner,black,blue death ink coal brown dark white funeral,0.571428571429,1.0,False,
R_qyeol4HnHcwFGOB,Yes,Male,33,White,some college,english,english,Frisco Texas,1,conner,kill,murder deadly assassin slay suicide shoot,0.428571428571,1.0,False,
R_qyeol4HnHcwFGOB,Yes,Male,33,White,some college,english,english,Frisco Texas,1,deshaun,law,justice legislation amendment officer rules govermen,0.357142857143,0.833333333333,False,govermen
R_qyeol4HnHcwFGOB,Yes,Male,33,White,some college,english,english,Frisco Texas,1,conner,sweet,sour frosting bitter honey cake sugar,0.357142857143,0.833333333333,False,cake
R_qyeol4HnHcwFGOB,Yes,Male,33,White,some college,english,english,Frisco Texas,1,conner,lion,bears hunt fierce lion tiger mane den cub,0.5,0.875,True,lion
R_qyeol4HnHcwFGOB,Yes,Male,33,White,some college,english,english,Frisco Texas,1,deshaun,sleep,slumber nap peace yawn,0.285714285714,1.0,False,
R_qyeol4HnHcwFGOB,Yes,Male,33,White,some college,english,english,Frisco Texas,1,deshaun,soft,kitten skin heart fluffy pillow soft,0.285714285714,0.666666666667,True,heart soft
R_43jOyTQkNgfowil,Yes,Male,47,White,hold a higher degree,English,English,Omaha NE,2,deshaun,anger,fear hatred fury ire happy emotion,0.428571428571,1.0,False,
R_43jOyTQkNgfowil,Yes,Male,47,White,hold a higher degree,English,English,Omaha NE,2,deshaun,gun,rifle fire shoot military bullet bang,0.357142857143,0.833333333333,False,fire
R_43jOyTQkNgfowil,Yes,Male,47,White,hold a higher degree,English,English,Omaha NE,2,conner,trouble,bad shooter worry danger police maker,0.428571428571,1.0,False,
R_43jOyTQkNgfowil,Yes,Male,47,White,hold a higher degree,English,English,Omaha NE,2,deshaun,fruit,apple berry strawberry fruit salad bowl,0.285714285714,0.666666666667,True,strawberry fruit
R_43jOyTQkNgfowil,Yes,Male,47,White,hold a higher degree,English,English,Omaha NE,2,deshaun,lion,circus fear sit hunt,0.142857142857,0.5,False,fear sit
R_43jOyTQkNgfowil,Yes,Male,47,White,hold a higher degree,English,English,Omaha NE,2,conner,sleep,bed rest awake tired peace sleep yawn,0.428571428571,0.857142857143,True,sleep
R_43jOyTQkNgfowil,Yes,Male,47,White,hold a higher degree,English,English,Omaha NE,2,conner,soft,fluffy furry kitten skin,0.285714285714,1.0,False,
R_O2J1yN9peVarlPb,Yes,Male,31,White,graduated college,English,English,Salem  OR,2,deshaun,anger,hatred hate calm emotion happy ire wrath rage man fear temper mean dark white cat color brown grief death blue night bang muder military,0.785714285714,0.458333333333,False,blue brown death color cat grief bang murder night dark military white man
R_O2J1yN9peVarlPb,Yes,Male,31,White,graduated college,English,English,Salem  OR,2,deshaun,kill,murder deadly assassin poison attack shot destroy stab suicide violence slay shoot,0.857142857143,1.0,False,
R_O2J1yN9peVarlPb,Yes,Male,31,White,graduated college,English,English,Salem  OR,2,conner,trouble,maker trouble danger police sad worry bad difficulty help fight,0.642857142857,0.9,True,trouble
R_O2J1yN9peVarlPb,Yes,Male,31,White,graduated college,English,English,Salem  OR,2,deshaun,sweet,frosting sour dessert sweet candy fudge taste nice sugar bitter honey chocolate,0.785714285714,0.916666666667,True,sweet
R_O2J1yN9peVarlPb,Yes,Male,31,White,graduated college,English,English,Salem  OR,2,deshaun,lion,hunt fierce fear africa roar lion tiger jungle cage tamer circus,0.642857142857,0.818181818182,True,lion fear
R_O2J1yN9peVarlPb,Yes,Male,31,White,graduated college,English,English,Salem  OR,2,conner,sleep,yawn slumber blanket snooze slumber nap wake tired rest doze blanket,0.642857142857,1.0,False,
R_O2J1yN9peVarlPb,Yes,Male,31,White,graduated college,English,English,Salem  OR,2,conner,soft,kitten skin furry plush downy feather soft hard touch fur pillow light,0.785714285714,0.916666666667,True,soft
R_3oLVIsRE0dRzAi5,Yes,Male,27,White,graduated college,English,English,Tucson AZ,2,deshaun,anger,meh fear anger hate happy fury calm emotion,0.428571428571,0.75,True,anger meh
R_3oLVIsRE0dRzAi5,Yes,Male,27,White,graduated college,English,English,Tucson AZ,2,deshaun,gun,pistol shot powder gun rifle murder bang canon,0.5,0.875,True,gun
R_3oLVIsRE0dRzAi5,Yes,Male,27,White,graduated college,English,English,Tucson AZ,2,conner,law,rights attorney criminal government court lawyer crime regulation amendment,0.571428571429,0.888888888889,False,crime
R_3oLVIsRE0dRzAi5,Yes,Male,27,White,graduated college,English,English,Tucson AZ,2,deshaun,sweet,honey bitter sweet sugar fudge syrup flavor frosting,0.428571428571,0.75,True,sweet flavor
R_3oLVIsRE0dRzAi5,Yes,Male,27,White,graduated college,English,English,Tucson AZ,2,deshaun,chair,sit swivel chair couch recliner rocker desk,0.428571428571,0.857142857143,True,chair
R_3oLVIsRE0dRzAi5,Yes,Male,27,White,graduated college,English,English,Tucson AZ,2,conner,sleep,bed snore slumber nap blanket rest comfort pillow blanket peace yawn,0.571428571429,0.8,False,comfort pillow
R_3oLVIsRE0dRzAi5,Yes,Male,27,White,graduated college,English,English,Tucson AZ,2,conner,soft,hard light pillow plush downy kitten skin,0.5,1.0,False,
R_2rNIfvUrd4nWozy,Yes,Male,35,White,graduated college,english,english,tallahassee  fl,2,deshaun,black,brown cold bottle ink funeral blue night coal dark char white,0.642857142857,0.818181818182,False,cold bottle
R_2rNIfvUrd4nWozy,Yes,Male,35,White,graduated college,english,english,tallahassee  fl,2,deshaun,gun,canon bang aim shoot military pistol hunt,0.5,1.0,False,
R_2rNIfvUrd4nWozy,Yes,Male,35,White,graduated college,english,english,tallahassee  fl,2,conner,law,amendment legislation justice rules court legal attorney rights officer,0.642857142857,1.0,False,
R_2rNIfvUrd4nWozy,Yes,Male,35,White,graduated college,english,english,tallahassee  fl,2,deshaun,fruit,bowl salad banana juice pear orange berry apple vegetable,0.642857142857,1.0,False,
R_2rNIfvUrd4nWozy,Yes,Male,35,White,graduated college,english,english,tallahassee  fl,2,deshaun,chair,desk rocker sofa stool wicker furniture reclining sit,0.5,0.875,False,reclining
R_2rNIfvUrd4nWozy,Yes,Male,35,White,graduated college,english,english,tallahassee  fl,2,conner,needle,cloth injection syringe haystack prick needle sewing eye thread,0.571428571429,0.888888888889,True,needle
R_2rNIfvUrd4nWozy,Yes,Male,35,White,graduated college,english,english,tallahassee  fl,2,conner,doctor,clinic surgeon stethescope patient hospital nurse office doctor,0.5,0.875,True,doctor
R_1k2mpps0pNNsZdv,Yes,Male,34,White,some college,English,English,Buffalo  NY,2,deshaun,black,brown cold death blue ink bottom,0.357142857143,0.833333333333,False,cold
R_1k2mpps0pNNsZdv,Yes,Male,34,White,some college,English,English,Buffalo  NY,2,deshaun,gun,cannon aim bang shoot military rifle,0.428571428571,1.0,False,
R_1k2mpps0pNNsZdv,Yes,Male,34,White,some college,English,English,Buffalo  NY,2,conner,trouble,maker police fight sad difficulty bad,0.428571428571,1.0,False,
R_1k2mpps0pNNsZdv,Yes,Male,34,White,some college,English,English,Buffalo  NY,2,deshaun,sweet,frosting dessert tart sweet candy,0.285714285714,0.8,True,sweet
R_1k2mpps0pNNsZdv,Yes,Male,34,White,some college,English,English,Buffalo  NY,2,deshaun,chair,desk furniture rocker stool sofa couch,0.428571428571,1.0,False,
R_1k2mpps0pNNsZdv,Yes,Male,34,White,some college,English,English,Buffalo  NY,2,conner,sleep,yawn slumber snore map piece,0.214285714286,0.6,False,map piece
R_1k2mpps0pNNsZdv,Yes,Male,34,White,some college,English,English,Buffalo  NY,2,conner,doctor,clinic stethescope patient surgeon hospital dentist,0.428571428571,1.0,False,
R_1Q0AQX7OLCGCJ4H,Yes,Female,39,White,graduated high school,english,english,Orange Park FL,2,deshaun,anger,hate fury temper emotion anger rage,0.357142857143,0.833333333333,True,anger
R_1Q0AQX7OLCGCJ4H,Yes,Female,39,White,graduated high school,english,english,Orange Park FL,2,deshaun,gun,cannon bang aim shoot pistol military hunt holster kill murder bullet,0.714285714286,0.909090909091,False,kill
R_1Q0AQX7OLCGCJ4H,Yes,Female,39,White,graduated high school,english,english,Orange Park FL,2,conner,trouble,maker difficulty sad bad help shooter police,0.5,1.0,False,
R_1Q0AQX7OLCGCJ4H,Yes,Female,39,White,graduated high school,english,english,Orange Park FL,2,deshaun,fruit,bowl salad basket fruit cherry berry apple kiwi,0.5,0.875,True,fruit
R_1Q0AQX7OLCGCJ4H,Yes,Female,39,White,graduated high school,english,english,Orange Park FL,2,deshaun,lion,hunt fierce africa tiger lion roar jungle feline,0.5,0.875,True,lion
R_1Q0AQX7OLCGCJ4H,Yes,Female,39,White,graduated high school,english,english,Orange Park FL,2,conner,needle,cloth syringe injection hurt sore pain,0.285714285714,0.666666666667,False,sore pain
R_1Q0AQX7OLCGCJ4H,Yes,Female,39,White,graduated high school,english,english,Orange Park FL,2,conner,doctor,clinic surgeon stethoscope nurse patient clinic hospital dentist,0.5,1.0,False,
R_2atctIbaSkHoFKA,Yes,Female,28,White,graduated high school,English,English,Pittsburgh  PA,2,deshaun,black,brown bottle blue white dark ink,0.357142857143,0.833333333333,False,bottle
R_2atctIbaSkHoFKA,Yes,Female,28,White,graduated high school,English,English,Pittsburgh  PA,2,deshaun,kill,deadly murder assassin shooter suicide destroy,0.357142857143,0.833333333333,False,shooter
R_2atctIbaSkHoFKA,Yes,Female,28,White,graduated high school,English,English,Pittsburgh  PA,2,conner,law,legislation justice amendment court law partition lawyer,0.357142857143,0.714285714286,True,law petition
R_2atctIbaSkHoFKA,Yes,Female,28,White,graduated high school,English,English,Pittsburgh  PA,2,deshaun,sweet,frosting dessert sour honey bitter sweet,0.357142857143,0.833333333333,True,sweet
R_2atctIbaSkHoFKA,Yes,Female,28,White,graduated high school,English,English,Pittsburgh  PA,2,deshaun,chair,desk rocker wicker sofa furniture seat chair recliner loveseat,0.5,0.777777777778,True,chair loveseat
R_2atctIbaSkHoFKA,Yes,Female,28,White,graduated high school,English,English,Pittsburgh  PA,2,conner,sleep,yawn peace nap slumber awake tired bed alarm illness surgeon nurse clinic doctor pin cloth injection,0.5,0.4375,False,illness pin doctor alarm cloth clinic nurse injection surgeon
R_2atctIbaSkHoFKA,Yes,Female,28,White,graduated high school,English,English,Pittsburgh  PA,2,conner,soft,kitten skin furry downy fluffy plush pillow soft happy anger calm anger wrath fight ire help shooter sorrow schoo,0.5,0.388888888889,True,school wrath sorrow shooter fight calm anger happy soft ire help
R_1eysD9qNM3wAGyx,Yes,Male,27,White,some college,English,English,Hagerstown  Maryland,3,conner,trouble,maker thimble sharp pin eye,0.0714285714286,0.2,False,sharp thimble eye pin
R_1eysD9qNM3wAGyx,Yes,Male,27,White,some college,English,English,Hagerstown  Maryland,3,deshaun,gang,life street bandanna crips bat crime member,0.428571428571,0.857142857143,False,bat
R_1eysD9qNM3wAGyx,Yes,Male,27,White,some college,English,English,Hagerstown  Maryland,3,deshaun,athlete,fast skilled muscle olympics sports basketball,0.428571428571,1.0,False,
R_1eysD9qNM3wAGyx,Yes,Male,27,White,some college,English,English,Hagerstown  Maryland,3,conner,sleep,peace yawn slumber wake awake bed,0.428571428571,1.0,False,
R_1eysD9qNM3wAGyx,Yes,Male,27,White,some college,English,English,Hagerstown  Maryland,3,conner,doctor,stethoscope surgeon nurse sick ill hospital physician,0.5,1.0,False,
R_1eysD9qNM3wAGyx,Yes,Male,27,White,some college,English,English,Hagerstown  Maryland,3,deshaun,mountain,steep range valley peak plain,0.357142857143,1.0,False,
R_1eysD9qNM3wAGyx,Yes,Male,27,White,some college,English,English,Hagerstown  Maryland,3,deshaun,cup,coffee tea saucer plastic soup stein mug,0.5,1.0,False,
R_11dtWKCP62xiiox,Yes,Female,57,White,some college,english,english,atlanta  ga,3,conner,law,amendment legislation court legal justice attorney,0.428571428571,1.0,False,
R_11dtWKCP62xiiox,Yes,Female,57,White,some college,english,english,atlanta  ga,3,deshaun,thug,drugs violent street hood hoodlum,0.357142857143,1.0,False,
R_11dtWKCP62xiiox,Yes,Female,57,White,some college,english,english,atlanta  ga,3,deshaun,jail,life convict felon bars cell bait prison police jail,0.5,0.777777777778,True,jail police
R_11dtWKCP62xiiox,Yes,Female,57,White,some college,english,english,atlanta  ga,3,conner,needle,cloth syringe injection point hurt haystack thimble sewing prick,0.642857142857,1.0,False,
R_11dtWKCP62xiiox,Yes,Female,57,White,some college,english,english,atlanta  ga,3,conner,soft,skin kitten fur fluffy downy plush soft light pillow,0.571428571429,0.888888888889,True,soft
R_11dtWKCP62xiiox,Yes,Female,57,White,some college,english,english,atlanta  ga,3,deshaun,cold,arctic air shiver freeze chili cold ice winter hot snow,0.642857142857,0.9,True,cold
R_11dtWKCP62xiiox,Yes,Female,57,White,some college,english,english,atlanta  ga,3,deshaun,trash,bag can landfill dump rubbish litter can,0.428571428571,1.0,False,
R_1ISkU3ReMxkL6hD,Yes,Female,56,White,graduated college,English,Engish,Lakewood  CO,3,conner,trouble,maker help sad,0.214285714286,1.0,False,
R_1ISkU3ReMxkL6hD,Yes,Female,56,White,graduated college,English,Engish,Lakewood  CO,3,deshaun,thug,drugs crime lilac mean,0.214285714286,0.75,False,lilac
R_1ISkU3ReMxkL6hD,Yes,Female,56,White,graduated college,English,Engish,Lakewood  CO,3,deshaun,jail,life convict felon free bars prison,0.428571428571,1.0,False,
R_1ISkU3ReMxkL6hD,Yes,Female,56,White,graduated college,English,Engish,Lakewood  CO,3,conner,needle,cloth syringe injection hurt eye thimble needle,0.428571428571,0.857142857143,True,needle
R_1ISkU3ReMxkL6hD,Yes,Female,56,White,graduated college,English,Engish,Lakewood  CO,3,conner,soft,skin kitten downy furry plush cotton,0.428571428571,1.0,False,
R_1ISkU3ReMxkL6hD,Yes,Female,56,White,graduated college,English,Engish,Lakewood  CO,3,deshaun,mountain,steep range climber bike molehill peak mountain,0.428571428571,0.857142857143,True,mountain
R_1ISkU3ReMxkL6hD,Yes,Female,56,White,graduated college,English,Engish,Lakewood  CO,3,deshaun,trash,bag pow landfill can rubbish waste dumpster,0.428571428571,0.857142857143,False,pow
R_d76Vf1ZTWt2Xv0Z,Yes,Female,56,White,some college,English,English,Henderson  Kentucky,3,conner,trouble,mad officer school shooter violence mad,0.142857142857,0.4,False,violence mad officer
R_d76Vf1ZTWt2Xv0Z,Yes,Female,56,White,some college,English,English,Henderson  Kentucky,3,deshaun,gang,ladder hammer crops crops,0.0,0.0,False,crops ladder hammer
R_d76Vf1ZTWt2Xv0Z,Yes,Female,56,White,some college,English,English,Henderson  Kentucky,3,deshaun,athlete,sports muscle jock ball,0.214285714286,0.75,False,ball
R_d76Vf1ZTWt2Xv0Z,Yes,Female,56,White,some college,English,English,Henderson  Kentucky,3,conner,sleep,bed sleep awake peaceful yawn nap,0.285714285714,0.666666666667,True,sleep peaceful
R_d76Vf1ZTWt2Xv0Z,Yes,Female,56,White,some college,English,English,Henderson  Kentucky,3,conner,doctor,sick lawyer medicine physian hospital,0.357142857143,1.0,False,
R_d76Vf1ZTWt2Xv0Z,Yes,Female,56,White,some college,English,English,Henderson  Kentucky,3,deshaun,mountain,steep furry hill top most,0.214285714286,0.6,False,furry most
R_d76Vf1ZTWt2Xv0Z,Yes,Female,56,White,some college,English,English,Henderson  Kentucky,3,deshaun,trash,dump trash waste sewer landfill gotten filth,0.214285714286,0.428571428571,True,gotten trash filth sewer
R_2TWOEyDXByE3EQ6,Yes,Male,28,White,graduated college,english ,english,Galloway  NJ,3,conner,trouble,maker help difficulty shooter injection hurt nurse sad,0.357142857143,0.625,False,nurse injection hurt
R_2TWOEyDXByE3EQ6,Yes,Male,28,White,graduated college,english ,english,Galloway  NJ,3,deshaun,thug,drugs street hoodlum bully violence gangster,0.357142857143,0.833333333333,False,violence
R_2TWOEyDXByE3EQ6,Yes,Male,28,White,graduated college,english ,english,Galloway  NJ,3,deshaun,jail,life convict prison prisoner punish bars,0.357142857143,0.833333333333,False,punish
R_2TWOEyDXByE3EQ6,Yes,Male,28,White,graduated college,english ,english,Galloway  NJ,3,conner,sleep,yawn peace slumber blanket snore snooze olympic athlete sports basketball,0.428571428571,0.6,False,olympic basketball athlete sports
R_2TWOEyDXByE3EQ6,Yes,Male,28,White,graduated college,english ,english,Galloway  NJ,3,conner,soft,skin kitten furry downy fluffy lawyer,0.357142857143,0.833333333333,False,lawyer
R_2TWOEyDXByE3EQ6,Yes,Male,28,White,graduated college,english ,english,Galloway  NJ,3,deshaun,mountain,steep range climbing valley ice winter winner cold chilly,0.214285714286,0.333333333333,False,winter winner ice chilly climbing cold
R_2TWOEyDXByE3EQ6,Yes,Male,28,White,graduated college,english ,english,Galloway  NJ,3,deshaun,trash,can pile bag landfill rubbish sewer bandana crips ortega blood gang cup lid,0.357142857143,0.384615384615,False,lid cup sewer gang norteno bandana crips blood
R_tGTZn7I1XXn3eF3,Yes,Female,37,Asian White,graduated college,english,english,Honolulu  HI,4,deshaun,trouble,maker bad police worry,0.285714285714,1.0,False,
R_tGTZn7I1XXn3eF3,Yes,Female,37,Asian White,graduated college,english,english,Honolulu  HI,4,conner,gang,crips violence gang drugs,0.214285714286,0.75,True,gang
R_tGTZn7I1XXn3eF3,Yes,Female,37,Asian White,graduated college,english,english,Honolulu  HI,4,conner,athlete,skilled sports strong professional compete,0.357142857143,1.0,False,
R_tGTZn7I1XXn3eF3,Yes,Female,37,Asian White,graduated college,english,english,Honolulu  HI,4,deshaun,needle,cloth syringe eye sharp thimble,0.357142857143,1.0,False,
R_tGTZn7I1XXn3eF3,Yes,Female,37,Asian White,graduated college,english,english,Honolulu  HI,4,deshaun,soft,kitten down plush nap,0.142857142857,0.5,False,down nap
R_tGTZn7I1XXn3eF3,Yes,Female,37,Asian White,graduated college,english,english,Honolulu  HI,4,conner,cold,arctic winter ice freeze,0.285714285714,1.0,False,
R_tGTZn7I1XXn3eF3,Yes,Female,37,Asian White,graduated college,english,english,Honolulu  HI,4,conner,trash,bag pile dumpster waste garbage,0.357142857143,1.0,False,
